i_state_x,area_name,less_than_a_high_school_diploma_2014_18,high_school_diploma_only_2014_18,some_college_or_associate_s_degree_2014_18,bachelor_s_degree_or_higher_2014_18,percent_of_adults_with_less_than_a_high_school_diploma_2014_18,percent_of_adults_with_a_high_school_diploma_only_2014_18,percent_of_adults_completing_some_college_or_associate_s_degree_2014_18,percent_of_adults_with_a_bachelor_s_degree_or_higher_2014_18,i_state_y,povall_2018,ci90lb_all_2018,ci90uball_2018,pctpovall_2018,ci90lballp_2018,ci90uballp_2018,pov017_2018,ci90lb017_2018,ci90ub017_2018,pctpov017_2018,ci90lb017p_2018,ci90ub017p_2018,pov517_2018,ci90lb517_2018,ci90ub517_2018,pctpov517_2018,ci90lb517p_2018,ci90ub517p_2018,medhhinc_2018,ci90lbinc_2018,ci90ubinc_2018,i_state,civilian_labor_force_2018,employed_2018,unemployed_2018,unemployment_rate_2018,median_household_income_2018,med_hh_income_percent_of_state_total_2018
AL,Walker County,"8,606","16,685","14,479","5,204",19.1,37.1,32.2,11.6,AL,"11,231","9,229","13,233",17.9,14.7,21.1,"3,415","2,531","4,299",24.7,18.3,31.1,"2,413","1,726","3,100",24,17.2,30.8,"45,434","42,175","48,693",AL,"25,128","24,078","1,050",4.2,"45,434",91.1
AL,Washington County,"2,243","4,954","2,996","1,276",19.6,43.2,26.1,11.1,AL,"2,846","2,191","3,501",17.6,13.6,21.6,916,657,"1,175",25.8,18.5,33.1,659,456,862,24.5,16.9,32.1,"44,424","39,552","49,296",AL,"6,711","6,327",384,5.7,"44,424",89.1
AL,Wilcox County,"1,662","2,903","1,738",901,23.1,40.3,24.1,12.5,AL,"3,504","2,719","4,289",33.4,25.9,40.9,"1,262",924,"1,600",50.6,37,64.2,924,656,"1,192",50.5,35.8,65.2,"25,385","22,961","27,809",AL,"2,756","2,498",258,9.4,"25,385",50.9
AL,Winston County,"3,755","6,420","4,683","2,326",21.9,37.4,27.3,13.5,AL,"4,338","3,399","5,277",18.6,14.6,22.6,"1,314",991,"1,637",27.6,20.8,34.4,915,659,"1,171",26.2,18.9,33.5,"41,156","36,842","45,470",AL,"9,810","9,405",405,4.1,"41,156",82.5
AK,Alaska,"34,760","133,851","169,471","139,645",7.3,28,35.5,29.2,AK,"80,224","76,253","84,195",11.1,10.5,11.7,"26,096","24,139","28,053",14.5,13.4,15.6,"16,827","15,140","18,514",13.2,11.9,14.5,"74,912","73,075","76,749",AK,"352,662","329,901","22,761",6.5,"74,912",100
AK,Aleutians East Borough,358,"1,061",882,336,13.6,40.2,33.4,12.7,AK,544,389,699,15.5,11.1,19.9,34,23,45,12.5,8.6,16.4,23,15,31,12,7.7,16.3,"70,081","62,596","77,566",AK,"2,292","2,222",70,3.1,"70,081",93.6
AK,Aleutians West Census Area,459,"1,664","1,309",675,11.2,40.5,31.9,16.4,AK,550,422,678,10,7.7,12.3,51,37,65,8.1,5.8,10.4,35,24,46,7.8,5.3,10.3,"82,633","76,360","88,906",AK,"3,602","3,477",125,3.5,"82,633",110.3
AK,Bethel Census Area,"1,798","4,371","2,314","1,194",18.6,45.2,23.9,12.3,AK,"5,869","5,189","6,549",32.7,28.9,36.5,"2,651","2,178","3,124",41.2,33.8,48.6,"1,715","1,341","2,089",38.9,30.4,47.4,"44,304","40,044","48,564",AK,"7,111","6,209",902,12.7,"44,304",59.1
AK,Bristol Bay Borough,36,225,240,144,5.6,34.9,37.2,22.3,AK,96,72,120,11.2,8.4,14,25,17,33,15.2,10.5,19.9,18,12,24,16.8,11.1,22.5,"77,257","68,810","85,704",AK,444,417,27,6.1,"77,257",103.1
AK,Denali Borough,25,418,461,697,1.6,26.1,28.8,43.5,AK,135,102,168,6.9,5.2,8.6,28,19,37,7.3,5.1,9.5,19,13,25,7,4.6,9.4,"75,477","67,257","83,697",AK,"1,057",975,82,7.8,"75,477",100.8
AK,Dillingham Census Area,370,"1,138",835,559,12.7,39.2,28.8,19.3,AK,"1,091",875,"1,307",22,17.7,26.3,489,364,614,31.6,23.5,39.7,316,218,414,30.1,20.8,39.4,"54,524","49,216","59,832",AK,"2,004","1,844",160,8,"54,524",72.8
AK,Fairbanks North Star Borough,"3,381","13,785","24,520","20,152",5.5,22.3,39.7,32.6,AK,"8,104","6,512","9,696",8.6,6.9,10.3,"2,205","1,613","2,797",9.4,6.9,11.9,"1,361",921,"1,801",8.6,5.8,11.4,"74,268","69,294","79,242",AK,"45,476","42,901","2,575",5.7,"74,268",99.1
AK,Haines Borough,57,561,553,701,3,30,29.5,37.4,AK,259,195,323,10.5,7.9,13.1,69,48,90,16.4,11.5,21.3,47,31,63,14.2,9.3,19.1,"58,943","52,432","65,454",AK,"1,097",992,105,9.6,"58,943",78.7
