State,Area_name,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
AR,"Pike County, AR","4,302","4,129",173,4.0,"41,534",88.2
AR,"Poinsett County, AR","10,141","9,756",385,3.8,"37,370",79.4
AR,"Polk County, AR","8,074","7,745",329,4.1,"39,048",82.9
AR,"Pope County, AR","29,014","27,739","1,275",4.4,"45,788",97.2
AR,"Prairie County, AR","3,560","3,424",136,3.8,"43,245",91.8
AR,"Pulaski County, AR","188,642","182,165","6,477",3.4,"49,957",106.1
AR,"Randolph County, AR","7,169","6,886",283,3.9,"37,799",80.3
AR,"St. Francis County, AR","8,294","7,876",418,5.0,"33,257",70.6
AR,"Saline County, AR","58,734","56,950","1,784",3.0,"63,677",135.2
AR,"Scott County, AR","4,393","4,235",158,3.6,"35,826",76.1
AR,"Searcy County, AR","2,928","2,802",126,4.3,"31,659",67.2
AR,"Sebastian County, AR","56,858","54,852","2,006",3.5,"46,843",99.5
AR,"Sevier County, AR","5,601","5,347",254,4.5,"44,100",93.6
AR,"Sharp County, AR","5,788","5,514",274,4.7,"36,032",76.5
AR,"Stone County, AR","4,793","4,579",214,4.5,"34,009",72.2
AR,"Union County, AR","15,983","15,113",870,5.4,"45,335",96.3
AR,"Van Buren County, AR","5,891","5,583",308,5.2,"40,486",86.0
AR,"Washington County, AR","122,628","119,442","3,186",2.6,"50,893",108.1
AR,"White County, AR","33,643","32,189","1,454",4.3,"44,811",95.2
AR,"Woodruff County, AR","2,804","2,673",131,4.7,"34,306",72.8
AR,"Yell County, AR","8,494","8,142",352,4.1,"41,729",88.6
CA,California,"19,280,821","18,460,725","820,096",4.3,"75,250",100.0
CA,"Alameda County, CA","842,427","816,611","25,816",3.1,"101,744",135.2
CA,"Alpine County, CA",547,522,25,4.6,"55,384",73.6
CA,"Amador County, CA","14,686","14,084",602,4.1,"58,515",77.8
CA,"Butte County, CA","101,932","96,749","5,183",5.1,"50,945",67.7
CA,"Calaveras County, CA","21,188","20,329",859,4.1,"62,984",83.7
CA,"Colusa County, CA","10,861","9,421","1,440",13.3,"57,249",76.1
CA,"Contra Costa County, CA","560,913","542,812","18,101",3.2,"101,463",134.8
CA,"Del Norte County, CA","9,722","9,163",559,5.7,"48,518",64.5
CA,"El Dorado County, CA","91,131","87,804","3,327",3.7,"81,869",108.8
CA,"Fresno County, CA","446,744","412,795","33,949",7.6,"52,318",69.5
CA,"Glenn County, CA","12,782","11,938",844,6.6,"47,365",62.9
CA,"Humboldt County, CA","62,605","60,329","2,276",3.6,"49,471",65.7
CA,"Imperial County, CA","71,243","57,811","13,432",18.9,"46,633",62.0
CA,"Inyo County, CA","8,712","8,371",341,3.9,"53,793",71.5
CA,"Kern County, CA","386,234","354,890","31,344",8.1,"51,586",68.6
CA,"Kings County, CA","57,568","53,018","4,550",7.9,"58,255",77.4
CA,"Lake County, CA","29,105","27,558","1,547",5.3,"45,086",59.9
CA,"Lassen County, CA","9,866","9,388",478,4.8,"57,705",76.7
CA,"Los Angeles County, CA","5,095,504","4,860,309","235,195",4.6,"67,986",90.3
CA,"Madera County, CA","61,331","56,955","4,376",7.1,"53,632",71.3
